ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
78941,0,0,8,0,0,1,935.0,60625.0,6
78942,0,0,8,0,0,1,2965.0,52637.0,47
78950,0,2,0,0,0,1,800.0,54292.0,34
78954,0,1,0,0,1,0,513.0,69464.0,13
79029,0,16,0,0,0,2,10012.0,117648.0,56
79070,0,1,0,0,1,0,3328.0,50143.0,25
79079,0,0,6,0,0,1,1131.0,43277.0,28
79118,0,3,0,0,0,1,7993.0,75021.0,335
79119,0,3,0,0,2,0,13620.0,170980.0,746
79124,0,7,12,0,0,4,13776.0,388284.0,528
79201,0,2,8,1,0,1,4860.0,87014.0,28
79370,0,2,0,1,0,0,626.0,39907.0,17
79401,0,5,0,1,0,1,6604.0,39800.0,124
79407,0,1,0,1,0,0,9475.0,45542.0,295
79424,0,4,1,2,2,0,75424.0,337800.0,2948
79556,0,0,12,0,0,2,9142.0,89680.0,48
79567,0,1,0,1,0,0,1291.0,38806.0,0
79606,0,6,0,0,1,2,30669.0,193395.0,900
79701,0,0,4,0,0,1,10006.0,57064.0,146
79706,0,1,8,1,0,1,15188.0,171544.0,336
79707,0,1,0,0,1,0,14497.0,98015.0,404
79720,3,0,0,0,1,0,10537.0,54479.0,119
79734,0,3,0,0,0,1,1005.0,53401.0,22
79735,0,0,12,0,0,2,7930.0,96626.0,84
79756,0,2,0,0,0,1,3276.0,66667.0,15
79772,0,3,12,0,0,3,9174.0,166521.0,108
79821,2,0,0,0,1,0,1855.0,37083.0,77
79843,0,3,0,0,0,1,954.0,41163.0,23
79855,0,0,12,0,0,2,1114.0,71626.0,56
79901,0,9,0,3,1,1,18345.0,67870.0,375
79902,0,2,0,0,0,1,8067.0,34791.0,410
79905,0,5,0,3,0,0,22695.0,70182.0,126
79907,0,4,0,0,0,2,33036.0,63568.0,266
79911,0,10,0,6,0,0,12024.0,628782.0,699
79912,0,8,0,3,0,1,113960.0,242012.0,8504
79925,0,26,1,5,2,5,176016.0,571152.0,3336
79932,0,0,8,0,0,1,8899.0,67753.0,478
79935,0,0,4,0,0,1,6216.0,55054.0,123
79936,0,4,0,0,1,1,70874.0,109740.0,1524
85248,0,2,0,0,0,1,16253.0,76457.0,0
97003,0,8,0,0,3,0,0.0,0.0,1215
97005,7,118,5,6,13,12,349866.0,1578892.0,14446
97006,0,61,13,2,10,7,517218.0,1499461.0,18810
97007,0,2,0,0,0,1,25528.0,85346.0,1402
97013,0,3,0,0,2,0,17436.0,148248.0,604
97014,0,1,1,0,0,1,585.0,52117.0,25
97015,1,15,3,4,1,5,89030.0,781060.0,3360
97016,0,5,3,0,0,3,7617.0,137730.0,81
97023,0,8,0,0,0,2,7734.0,141834.0,222
97027,0,6,1,2,2,1,23980.0,322390.0,580
97028,0,1,1,0,0,1,105.0,69440.0,9
97030,0,15,0,4,1,3,118400.0,405440.0,2008
97031,1,16,13,3,1,8,86844.0,803640.0,3900
97034,0,21,4,0,0,10,77710.0,1280480.0,13170
97035,0,55,0,4,2,10,180880.0,1576912.0,18480
97038,0,1,0,0,0,1,5633.0,64678.0,93
97040,0,1,0,0,1,0,592.0,77240.0,24
97041,0,3,0,0,1,1,1634.0,125250.0,40
97045,0,26,0,7,2,5,287826.0,1110410.0,11746
97048,0,2,1,0,0,1,2704.0,56483.0,61
97051,0,3,0,1,1,0,12766.0,118140.0,324
97054,0,2,2,3,0,0,1740.0,221001.0,42
97055,0,3,10,0,1,3,28108.0,315532.0,672
97056,0,3,1,2,0,1,13881.0,230805.0,606
97058,0,6,7,1,2,2,40610.0,261995.0,780
97060,5,8,4,2,1,5,56784.0,602328.0,1632
97062,0,14,4,0,0,10,111750.0,877980.0,3275
97067,0,1,1,0,0,1,863.0,63990.0,35
97068,0,2,0,0,1,0,10994.0,113389.0,1090
97070,1,19,7,4,4,4,122220.0,882828.0,8268
97071,0,9,13,4,1,3,73504.0,432632.0,1168
97080,0,1,0,0,0,1,15399.0,75431.0,496
97086,0,14,4,0,0,10,113780.0,940310.0,7850
