ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
97232,0,46,4,9,1,10,7236.0,63059.0,527
97233,0,6,0,2,0,2,13682.0,42452.0,237
97239,2,8,0,2,0,1,9022.0,93459.0,968
97266,0,3,0,2,1,0,12653.0,53984.0,370
97267,0,3,1,0,2,0,13426.0,70162.0,590
97301,12,66,16,19,4,15,18558.0,43841.0,380
97302,0,9,2,1,3,4,15794.0,66702.0,729
97303,2,6,2,0,1,3,14991.0,64587.0,317
97304,0,10,0,0,1,4,12298.0,69945.0,511
97305,0,0,4,0,0,1,14613.0,52533.0,175
97321,0,6,0,3,0,0,10593.0,73441.0,414
97322,0,1,7,1,1,2,14067.0,55349.0,197
97330,0,23,0,5,3,4,18095.0,56998.0,1091
97333,0,9,0,1,0,2,9497.0,54354.0,416
97338,0,1,1,0,0,2,8159.0,61956.0,150
97341,0,1,0,0,0,1,1336.0,46978.0,48
97342,0,1,7,0,0,2,51.0,40313.0,2
97344,0,2,0,0,0,1,512.0,45313.0,7
97345,1,0,0,0,1,0,204.0,42713.0,6
97347,0,1,1,0,0,1,725.0,42802.0,7
97348,0,3,1,0,0,2,609.0,62332.0,6
97351,0,10,0,3,0,2,3676.0,53500.0,103
97355,0,5,0,0,2,1,11759.0,53066.0,152
97360,0,3,5,5,0,1,958.0,51744.0,10
97361,0,1,1,0,0,1,4047.0,43653.0,97
97365,0,8,6,1,2,3,4912.0,49838.0,124
97366,0,4,0,2,0,0,772.0,56875.0,39
97367,0,7,9,2,0,3,4532.0,40206.0,146
97368,0,2,4,5,0,0,1461.0,38926.0,21
97370,0,2,0,1,0,0,3301.0,82132.0,192
97371,0,3,0,0,0,1,246.0,135385.0,7
97376,0,1,0,0,1,0,550.0,51346.0,21
97378,2,0,0,0,1,0,2410.0,56274.0,40
97381,0,2,0,0,0,1,5707.0,72770.0,205
97388,0,8,0,0,0,1,365.0,58368.0,20
97391,0,6,0,3,0,0,2257.0,54675.0,28
97392,0,2,0,0,0,1,2450.0,83725.0,75
97394,0,8,0,0,0,2,2397.0,46854.0,53
97401,0,27,1,6,2,7,21055.0,37662.0,663
97402,0,4,0,1,0,1,21335.0,47168.0,507
97403,0,23,0,6,4,1,4116.0,45034.0,247
97404,0,5,0,3,0,1,13547.0,63220.0,421
97405,10,16,0,0,2,3,19215.0,69200.0,1500
97408,0,8,0,4,1,0,5880.0,63475.0,299
97411,0,6,8,0,1,3,3394.0,35545.0,89
97413,0,1,1,0,0,1,486.0,53716.0,10
97415,0,1,1,0,0,1,6548.0,50547.0,158
97417,0,3,1,1,0,1,1063.0,35797.0,2
97420,2,4,1,1,2,2,11631.0,49897.0,143
97424,0,11,1,0,0,4,7212.0,48468.0,112
97436,0,1,1,0,0,1,318.0,46667.0,7
97437,0,4,0,0,0,1,1078.0,74444.0,26
97439,0,17,1,2,0,4,7074.0,44608.0,152
97443,1,0,0,0,1,0,832.0,47098.0,8
